RENE=MO10:00-12:00,TU10:00-12:00,TH01:00-03:00,SA14:00-18:00,SU20:00-21:00
ASTRID=MO10:00-12:00,TH12:00-14:00,SU20:00-21:00
RICHARD=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
EDUARD=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
CLAYTON=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
RICHARD=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
CAROL=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
CAROL=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
JOLENA=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
PENELOPE=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
JENNIE=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
RUBEN=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
JOLENA=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
CAROL=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
RICHARD=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
JOLENA=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
MARK=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
MARK=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
DEREK=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
LOUIS=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
MARTIN=MO10:00-12:00,TU12:00-16:00,WE09:00-14:00,FR05:00-12:00,SA09:00-15:00
